PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,N2-10 bar (mol/kg)
41.05112,41.1773,2272.28,0.83222,2.35E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,2.123234119
9.37583,11.01204,4872.89,0.793,7.56E-06,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,4.098317408
5.94566,7.11918,2019.34,0.61318,1.49E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,1.253158993
14.43667,14.78901,1987.87,0.66862,1.63E-06,53.57142857,35.71428571,10.71428571,0,0,0,0,1.464423336
16.83791,17.15189,2411.8,0.71904,1.77E-06,56.66666667,33.33333333,10,0,0,0,0,1.587700387
15.00037,15.2073,2127.23,0.70194,1.58E-06,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,1.374581146
19.77262,22.16292,7094.57,0.90412,4.30E-06,56.25,25,12.5,6.25,0,0,0,4.037571508
9.18961,9.80273,1739.36,0.6184,1.11E-06,40,25,25,10,0,0,0,0.981684506
20.79435,21.19983,3846.24,0.83142,3.94E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,3.442845531
16.15375,16.51788,1691.43,0.66724,2.01E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,1.679348826
18.14826,18.49638,1732.61,0.68272,1.55E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,1.338937628
7.26122,8.0558,1381.08,0.58616,1.95E-06,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,1.512131419
6.48996,7.45342,702.761,0.4803,5.81E-07,44.73684211,50,2.631578947,2.631578947,0,0,0,0.490072671
15.35482,15.85081,1728.24,0.66142,1.07E-06,48.93617021,48.93617021,2.127659574,0,0,0,0,0.947828827
35.71819,35.86719,2366.26,0.80666,1.54E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,1.510816157
25.41555,25.64462,2270.49,0.7851,1.77E-06,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,1.69306684
32.79335,33.01596,2559.5,0.83286,1.89E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,1.805536017
9.54557,9.60069,821.238,0.45824,6.74E-07,48.10810811,49.72972973,2.162162162,0,0,0,0,0.603005459
13.11194,13.17228,1032.13,0.51894,9.69E-07,50.24875622,47.76119403,1.990049751,0,0,0,0,0.854640852
10.59437,12.48955,8339.6,0.88504,3.76E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,3.561946826
